code	word	freq	primary_code	misread_char	prim_syl	wrong_syl
duhang	都行	28784	douxing	都	dou	du
duxing	都行	28784	douxing	都	dou	du
dailao	大佬	28656	dalao	大	da	dai
jianxian	见见	28643	jianjian	见	jian	xian
xianjian	见见	28643	jianjian	见	jian	xian
xianxian	见见	28643	jianjian	见	jian	xian
duochong	多重	28610	duozhong	重	zhong	chong
houkuai	后会	28573	houhui	会	hui	kuai
buchong	不重	28526	buzhong	重	zhong	chong
yijuan	一圈	28495	yiquan	圈	quan	juan
mozhun	没准	28443	meizhun	没	mei	mo
molai	没来	28346	meilai	没	mei	mo
bidei	彼得	28243	bide	得	de	dei
xinchang	寻常	28214	xunchang	寻	xun	xin
mohui	没回	28201	meihui	没	mei	mo
kuoyong	适用	28144	shiyong	适	shi	kuo
shuoliaosuan	说了算	28132	shuolesuan	了	le	liao
moren	万人	28101	wanren	万	wan	mo
gaikuai	该会	28073	gaihui	会	hui	kuai
buchang	不长	28065	buzhang	长	zhang	chang
pianxian	偏见	28045	pianjian	见	jian	xian
haojiumo	好久没	28002	haojiumei	没	mei	mo
taihaoliao	太好了	27898	taihaole	了	le	liao
mochu	没出	27767	meichu	没	mei	mo
daisan	大三	27680	dasan	大	da	dai
yuedai	越大	27627	yueda	大	da	dai
daishan	大山	27615	dashan	大	da	dai
daiguimo	大规模	27602	daguimo	大	da	dai
kansi	看似	27562	kanshi	似	shi	si
chenzhao	趁着	27491	chenzhe	着	zhe	zhao
chenzhuo	趁着	27491	chenzhe	着	zhe	zhuo
mokai	没开	27426	meikai	没	mei	mo
yanjuan	眼圈	27409	yanquan	圈	quan	juan
modao	没到	27390	meidao	没	mei	mo
duizhao	对着	27376	duizhe	着	zhe	zhao
duizhuo	对着	27376	duizhe	着	zhe	zhuo
likuai	理会	27326	lihui	会	hui	kuai
leyue	乐乐	27307	lele	乐	le	yue
yuele	乐乐	27307	lele	乐	le	yue
yueyue	乐乐	27307	lele	乐	le	yue
jimo	几万	27288	jiwan	万	wan	mo
nengxian	能见	27277	nengjian	见	jian	xian
zhongdai	中大	27257	zhongda	大	da	dai
chenzhiwei	称之为	27209	chengzhiwei	称	cheng	chen
weichong	为重	27184	weizhong	重	zhong	chong
renhang	人行	27127	renxing	行	xing	hang
jili	给力	27112	geili	给	gei	ji
changkuai	常会	27073	changhui	会	hui	kuai
liangmo	两万	27052	liangwan	万	wan	mo
tiankuai	天会	27016	tianhui	会	hui	kuai
kandeichu	看得出	26996	kandechu	得	de	dei
tamadi	他妈的	26969	tamade	的	de	di
diji	递给	26968	digei	给	gei	ji
yinyuekuai	音乐会	26927	yinyuehui	会	hui	kuai
moneng	没能	26891	meineng	没	mei	mo
kuaiyong	会用	26888	huiyong	会	hui	kuai
deizhu	得住	26878	dezhu	得	de	dei
daiyu	大于	26830	dayu	大	da	dai
daijiang	大奖	26756	dajiang	大	da	dai
shidai	师大	26744	shida	大	da	dai
daiyu	大鱼	26738	dayu	大	da	dai
shunzhao	顺着	26724	shunzhe	着	zhe	zhao
shunzhuo	顺着	26724	shunzhe	着	zhe	zhuo
xidu	西都	26720	xidou	都	dou	du
gongdai	工大	26691	gongda	大	da	dai
yiji	一系	26679	yixi	系	xi	ji
manmandi	满满的	26652	manmande	的	de	di
daifu	大幅	26610	dafu	大	da	dai
guodai	国大	26590	guoda	大	da	dai
guanliao	关了	26587	guanle	了	le	liao
lianzhao	连着	26579	lianzhe	着	zhe	zhao
lianzhuo	连着	26579	lianzhe	着	zhe	zhuo
huanyong	还用	26572	haiyong	还	hai	huan
daixian	大仙	26543	daxian	大	da	dai
daibu	大步	26504	dabu	大	da	dai
daiji	带给	26503	daigei	给	gei	ji
daige	大个	26482	dage	大	da	dai
zongjiao	总觉	26469	zongjue	觉	jue	jiao
huodei	活得	26467	huode	得	de	dei
chengdai	成大	26416	chengda	大	da	dai
juanjuan	圈圈	26401	quanquan	圈	quan	juan
juanquan	圈圈	26401	quanquan	圈	quan	juan
quanjuan	圈圈	26401	quanquan	圈	quan	juan
jiaji	嫁给	26358	jiagei	给	gei	ji
deixia	得下	26345	dexia	得	de	dei
jiede	接地	26319	jiedi	地	di	de
dadei	打得	26279	dade	得	de	dei
yibaimo	一百万	26220	yibaiwan	万	wan	mo
daiyan	大眼	26200	dayan	大	da	dai
duochang	多长	26195	duozhang	长	zhang	chang
shoushishuai	收视率	26189	shoushilv	率	lv	shuai
moshang	没上	26158	meishang	没	mei	mo
rangji	让给	26104	ranggei	给	gei	ji
jingjingdi	静静的	26086	jingjingde	的	de	di
daier	大二	26065	daer	大	da	dai
chaomu	超模	26043	chaomo	模	mo	mu
yongbuzhao	用不着	26028	yongbuzhe	着	zhe	zhao
yongbuzhuo	用不着	26028	yongbuzhe	着	zhe	zhuo
deizhu	得主	26026	dezhu	得	de	dei
kedai	科大	26021	keda	大	da	dai
tongliao	通了	25969	tongle	了	le	liao
sanmo	三万	25967	sanwan	万	wan	mo
shandai	山大	25949	shanda	大	da	dai
daisi	大四	25939	dasi	大	da	dai
kuaisheng	会生	25890	huisheng	会	hui	kuai
yingde	营地	25878	yingdi	地	di	de
kandeijian	看得见	25849	kandejian	得	de	dei
kandeixian	看得见	25849	kandejian	得	de	dei
kandexian	看得见	25849	kandejian	见	jian	xian
longchong	隆重	25840	longzhong	重	zhong	chong
shanliao	删了	25819	shanle	了	le	liao
daiqing	大清	25814	daqing	大	da	dai
jiaozhao	觉着	25809	juezhe	觉	jue	jiao
jiaozhe	觉着	25809	juezhe	觉	jue	jiao
jiaozhuo	觉着	25809	juezhe	觉	jue	jiao
juezhao	觉着	25809	juezhe	着	zhe	zhao
juezhuo	觉着	25809	juezhe	着	zhe	zhuo
taichang	太长	25800	taizhang	长	zhang	chang
changpang	长胖	25787	zhangpang	长	zhang	chang
zhaoshi	着实	25786	zheshi	着	zhe	zhao
zhuoshi	着实	25786	zheshi	着	zhe	zhuo
nadai	那大	25781	nada	大	da	dai
taichong	太重	25774	taizhong	重	zhong	chong
changchangdi	长长的	25760	changchangde	的	de	di
henjiumo	很久没	25750	henjiumei	没	mei	mo
zhuanlai	传来	25738	chuanlai	传	chuan	zhuan
tedai	特大	25717	teda	大	da	dai
huaizhao	怀着	25711	huaizhe	着	zhe	zhao
huaizhuo	怀着	25711	huaizhe	着	zhe	zhuo
moxia	没下	25680	meixia	没	mei	mo
huadu	花都	25653	huadou	都	dou	du
shuodeihao	说得好	25652	shuodehao	得	de	dei
daibao	大宝	25635	dabao	大	da	dai
chengshi	盛世	25633	shengshi	盛	sheng	cheng
douhaimo	都还没	25615	douhaimei	没	mei	mo
douhuanmei	都还没	25615	douhaimei	还	hai	huan
douhuanmo	都还没	25615	douhaimei	还	hai	huan
duhaimei	都还没	25615	douhaimei	都	dou	du
duhaimo	都还没	25615	douhaimei	都	dou	du
duhuanmei	都还没	25615	douhaimei	都	dou	du
duhuanmo	都还没	25615	douhaimei	都	dou	du
huansuan	还算	25546	haisuan	还	hai	huan
taichai	太差	25539	taicha	差	cha	chai
daixi	大西	25531	daxi	大	da	dai
meiji	没给	25480	meigei	给	gei	ji
mogei	没给	25480	meigei	没	mei	mo
moji	没给	25480	meigei	没	mei	mo
zikuai	子会	25473	zihui	会	hui	kuai
duandi	端的	25419	duande	的	de	di
nandai	南大	25397	nanda	大	da	dai
jidai	纪大	25382	jida	大	da	dai
shangmo	上万	25374	shangwan	万	wan	mo
badai	八大	25366	bada	大	da	dai
moduo	万多	25343	wanduo	万	wan	mo
moge	万个	25296	wange	万	wan	mo
deishi	得失	25195	deshi	得	de	dei
daidui	大堆	25162	dadui	大	da	dai
dangzhao	当着	25152	dangzhe	着	zhe	zhao
dangzhuo	当着	25152	dangzhe	着	zhe	zhuo
wumo	五万	25125	wuwan	万	wan	mo
changrou	长肉	25090	zhangrou	长	zhang	chang
lingkuai	领会	25012	linghui	会	hui	kuai
dangliao	当了	25007	dangle	了	le	liao
huikuai	会会	24980	huihui	会	hui	kuai
kuaihui	会会	24980	huihui	会	hui	kuai
kuaikuai	会会	24980	huihui	会	hui	kuai
yanjue	眼角	24968	yanjiao	角	jiao	jue
zuichang	最长	24958	zuizhang	长	zhang	chang
daixiong	大熊	24957	daxiong	大	da	dai
zhendijia	真的假	24917	zhendejia	的	de	di
youyue	游乐	24904	youle	乐	le	yue
xueshengkuai	学生会	24883	xueshenghui	会	hui	kuai
yalishandai	亚历山大	24883	yalishanda	大	da	dai
chongzheng	重症	24843	zhongzheng	重	zhong	chong
qiaoqiaodi	悄悄的	24824	qiaoqiaode	的	de	di
wohang	我行	24799	woxing	行	xing	hang
shangkuai	上会	24775	shanghui	会	hui	kuai
taibangliao	太棒了	24759	taibangle	了	le	liao
mofang	没放	24747	meifang	没	mei	mo
daizhong	大中	24724	dazhong	大	da	dai
genshei	跟谁	24682	genshui	谁	shui	shei
laixian	来见	24678	laijian	见	jian	xian
biandai	变大	24657	bianda	大	da	dai
hangbuxing	行不行	24650	xingbuxing	行	xing	hang
aizhao	挨着	24631	aizhe	着	zhe	zhao
aizhuo	挨着	24631	aizhe	着	zhe	zhuo
fachang	发长	24612	fazhang	长	zhang	chang
deli	地里	24582	dili	地	di	de
mochiguo	没吃过	24576	meichiguo	没	mei	mo
daihan	大喊	24562	dahan	大	da	dai
biewangliao	别忘了	24542	biewangle	了	le	liao
tuihang	推行	24533	tuixing	行	xing	hang
shangzhuan	上传	24525	shangchuan	传	chuan	zhuan
modian	没电	24521	meidian	没	mei	mo
daidian	大点	24520	dadian	大	da	dai
qianji	钱给	24520	qiangei	给	gei	ji
dandandi	淡淡的	24514	dandande	的	de	di
jingjingde	静静地	24476	jingjingdi	地	di	de
zhuanchu	传出	24465	chuanchu	传	chuan	zhuan
aodaili	澳大利	24457	aodali	大	da	dai
changdou	长痘	24454	zhangdou	长	zhang	chang
kedei	可得	24453	kede	得	de	dei
liandai	脸大	24448	lianda	大	da	dai
daima	大马	24435	dama	大	da	dai
kuaifen	会分	24420	huifen	会	hui	kuai
hangyuan	行员	24411	xingyuan	行	xing	hang
tianchang	天长	24392	tianzhang	长	zhang	chang
juedai	绝大	24389	jueda	大	da	dai
duomo	多万	24371	duowan	万	wan	mo
zichang	子长	24360	zizhang	长	zhang	chang
zhuandao	传到	24343	chuandao	传	chuan	zhuan
chengkai	盛开	24321	shengkai	盛	sheng	cheng
kuaikuaileyue	快快乐乐	24321	kuaikuailele	乐	le	yue
heiyanjuan	黑眼圈	24311	heiyanquan	圈	quan	juan
yongdei	用得	24305	yongde	得	de	dei
moxin	没心	24303	meixin	没	mei	mo
zhuanji	转给	24302	zhuangei	给	gei	ji
changqun	长裙	24284	zhangqun	长	zhang	chang
jinin	给您	24270	geinin	给	gei	ji
weikuai	委会	24229	weihui	会	hui	kuai
jiji	寄给	24222	jigei	给	gei	ji
xinmi	寻觅	24139	xunmi	寻	xun	xin
zuode	坐地	24119	zuodi	地	di	de
mochuan	没穿	24111	meichuan	没	mei	mo
macha	抹茶	24086	mocha	抹	mo	ma
kaidai	开大	24079	kaida	大	da	dai
jianmiankuai	见面会	24057	jianmianhui	会	hui	kuai
chonglai	重来	24046	zhonglai	重	zhong	chong
jichu	给出	24010	geichu	给	gei	ji
daiwei	大为	24002	dawei	大	da	dai
shuji	输给	23995	shugei	给	gei	ji
deijiu	得救	23994	dejiu	得	de	dei
sishi	似是	23989	shishi	似	shi	si
yiqiedushi	一切都是	23977	yiqiedoushi	都	dou	du
moyuan	万元	23946	wanyuan	万	wan	mo
shoudeile	受得了	23939	shoudele	得	de	dei
shoudeiliao	受得了	23939	shoudele	得	de	dei
shoudeliao	受得了	23939	shoudele	了	le	liao
xianji	先给	23900	xiangei	给	gei	ji
souxin	搜寻	23895	souxun	寻	xun	xin
shangjue	上角	23870	shangjiao	角	jiao	jue
miankuai	面会	23868	mianhui	会	hui	kuai
wudai	五大	23865	wuda	大	da	dai
suide	随地	23851	suidi	地	di	de
daikuai	待会	23847	daihui	会	hui	kuai
jingdeiqi	经得起	23819	jingdeqi	得	de	dei
kuoyi	适宜	23813	shiyi	适	shi	kuo
maiji	卖给	23795	maigei	给	gei	ji
laru	落入	23773	luoru	落	luo	la
guaiguaidi	怪怪的	23764	guaiguaide	的	de	di
qingzhao	清朝	23760	qingchao	朝	chao	zhao
momode	默默地	23740	momodi	地	di	de
ziyue	自乐	23723	zile	乐	le	yue
dazhao	打着	23674	dazhe	着	zhe	zhao
dazhuo	打着	23674	dazhe	着	zhe	zhuo
taikuai	太会	23657	taihui	会	hui	kuai
deibing	得病	23645	debing	得	de	dei
zheyangdihua	这样的话	23638	zheyangdehua	的	de	di
simo	四万	23619	siwan	万	wan	mo
daichu	大厨	23617	dachu	大	da	dai
daixia	大虾	23615	daxia	大	da	dai
duochangshijian	多长时间	23611	duozhangshijian	长	zhang	chang
lala	落落	23608	luoluo	落	luo	la
laluo	落落	23608	luoluo	落	luo	la
luola	落落	23608	luoluo	落	luo	la
suoxian	所见	23592	suojian	见	jian	xian
youhang	游行	23582	youxing	行	xing	hang
fuji	付给	23578	fugei	给	gei	ji
kanchen	堪称	23575	kancheng	称	cheng	chen
ladao	落到	23573	luodao	落	luo	la
xianzhao	闲着	23565	xianzhe	着	zhe	zhao
xianzhuo	闲着	23565	xianzhe	着	zhe	zhuo
tuichang	腿长	23559	tuizhang	长	zhang	chang
daigui	大规	23553	dagui	大	da	dai
deiyong	得用	23552	deyong	得	de	dei
dailiu	大流	23547	daliu	大	da	dai
eee	哦哦哦	23545	ooo	哦	o	e
eeo	哦哦哦	23545	ooo	哦	o	e
eoe	哦哦哦	23545	ooo	哦	o	e
eoo	哦哦哦	23545	ooo	哦	o	e
oee	哦哦哦	23545	ooo	哦	o	e
oeo	哦哦哦	23545	ooo	哦	o	e
ooe	哦哦哦	23545	ooo	哦	o	e
changtou	长头	23526	zhangtou	长	zhang	chang
moxi	没洗	23520	meixi	没	mei	mo
kuiliao	亏了	23513	kuile	了	le	liao
nenghang	能行	23505	nengxing	行	xing	hang
deicheng	得成	23504	decheng	得	de	dei
mobian	没变	23493	meibian	没	mei	mo
shidai	十大	23490	shida	大	da	dai
yueshi	乐视	23489	leshi	乐	le	yue
jingde	静地	23482	jingdi	地	di	de
meidei	美得	23479	meide	得	de	dei
dailian	大脸	23443	dalian	大	da	dai
jiqiao	机壳	23437	jike	壳	ke	qiao
buyue	不乐	23430	bule	乐	le	yue
hangshe	行社	23422	xingshe	行	xing	hang
zhaozuo	著作	23388	zhuzuo	著	zhu	zhao
zhezuo	著作	23388	zhuzuo	著	zhu	zhe
zhuozuo	著作	23388	zhuzuo	著	zhu	zhuo
dongdai	东大	23387	dongda	大	da	dai
liuchang	留长	23372	liuzhang	长	zhang	chang
moxie	没写	23340	meixie	没	mei	mo
minxiu	民宿	23324	minsu	宿	su	xiu
zhenkuai	真会	23323	zhenhui	会	hui	kuai
moli	万里	23314	wanli	万	wan	mo
xixie	吸血	23311	xixue	血	xue	xie
tiaodi	调低	23310	diaodi	调	diao	tiao
zhaoxin	找寻	23309	zhaoxun	寻	xun	xin
xiajue	下角	23304	xiajiao	角	jiao	jue
daishi	大石	23298	dashi	大	da	dai
tianxiang	天降	23281	tianjiang	降	jiang	xiang
moxue	没学	23258	meixue	没	mei	mo
deiming	得名	23253	deming	得	de	dei
tiantiandi	甜甜的	23253	tiantiande	的	de	di
hengdai	恒大	23210	hengda	大	da	dai
changyue	常乐	23171	changle	乐	le	yue
kuaizhan	会展	23152	huizhan	会	hui	kuai
jiaochong	较重	23151	jiaozhong	重	zhong	chong
daizui	大嘴	23147	dazui	大	da	dai
houhoudi	厚厚的	23142	houhoude	的	de	di
paidei	拍得	23135	paide	得	de	dei
jiexian	接见	23125	jiejian	见	jian	xian
tiaochu	调出	23102	diaochu	调	diao	tiao
suisuibianpian	随随便便	23097	suisuibianbian	便	bian	pian
suisuipianbian	随随便便	23097	suisuibianbian	便	bian	pian
suisuipianpian	随随便便	23097	suisuibianbian	便	bian	pian
niboer	尼泊尔	23083	nipoer	泊	po	bo
cihang	此行	23077	cixing	行	xing	hang
sheishei	谁谁	23072	shuishui	谁	shui	shei
sheishui	谁谁	23072	shuishui	谁	shui	shei
shuishei	谁谁	23072	shuishui	谁	shui	shei
seer	塞尔	23062	saier	塞	sai	se
xiadei	下得	23061	xiade	得	de	dei
daibian	大变	23057	dabian	大	da	dai
mowan	没玩	23027	meiwan	没	mei	mo
daiku	大哭	23012	daku	大	da	dai
shenshende	深深地	23010	shenshendi	地	di	de
pingzhao	凭着	23007	pingzhe	着	zhe	zhao
pingzhuo	凭着	23007	pingzhe	着	zhe	zhuo
shangdei	上得	23007	shangde	得	de	dei
daipai	大牌	23006	dapai	大	da	dai
daidong	大东	23005	dadong	大	da	dai
dandai	胆大	22996	danda	大	da	dai
chengxia	盛夏	22988	shengxia	盛	sheng	cheng
gaogaodi	高高的	22976	gaogaode	的	de	di
moduojiu	没多久	22975	meiduojiu	没	mei	mo
tanmu	弹幕	22963	danmu	弹	dan	tan
modong	没动	22959	meidong	没	mei	mo
chengyan	盛宴	22951	shengyan	盛	sheng	cheng
congxiaodaodai	从小到大	22951	congxiaodaoda	大	da	dai
juantao	圈套	22945	quantao	圈	quan	juan
daizeng	大增	22944	dazeng	大	da	dai
zuikuo	最适	22938	zuishi	适	shi	kuo
jinige	给你个	22906	geinige	给	gei	ji
jixiu	寄宿	22906	jisu	宿	su	xiu
mojin	没进	22892	meijin	没	mei	mo
gankun	乾坤	22889	qiankun	乾	qian	gan
daijiudian	大酒店	22879	dajiudian	大	da	dai
youyuechang	游乐场	22879	youlechang	乐	le	yue
maidei	买得	22864	maide	得	de	dei
daidu	大肚	22856	dadu	大	da	dai
jiaodai	交大	22839	jiaoda	大	da	dai
tangzhao	唐朝	22838	tangchao	朝	chao	zhao
shuaigao	率高	22835	lvgao	率	lv	shuai
jixie	鸡血	22830	jixue	血	xue	xie
kandeichulai	看得出来	22815	kandechulai	得	de	dei
changbai	长白	22811	zhangbai	长	zhang	chang
zuichai	最差	22811	zuicha	差	cha	chai
haoliaoma	好了吗	22809	haolema	了	le	liao
deixian	得闲	22797	dexian	得	de	dei
bianpian	便便	22795	bianbian	便	bian	pian
pianbian	便便	22795	bianbian	便	bian	pian
pianpian	便便	22795	bianbian	便	bian	pian
deijiang	得奖	22771	dejiang	得	de	dei
lexian	乐见	22760	lejian	见	jian	xian
yuejian	乐见	22760	lejian	乐	le	yue
yuexian	乐见	22760	lejian	乐	le	yue
zhaoshang	着上	22756	zheshang	着	zhe	zhao
zhuoshang	着上	22756	zheshang	着	zhe	zhuo
geishei	给谁	22754	geishui	谁	shui	shei
jishei	给谁	22754	geishui	给	gei	ji
jishui	给谁	22754	geishui	给	gei	ji
fadaicai	发大财	22746	fadacai	大	da	dai
zhaoyue	找乐	22727	zhaole	乐	le	yue
xiangdao	降到	22725	jiangdao	降	jiang	xiang
chongbing	重病	22710	zhongbing	重	zhong	chong
changdeishuai	长得帅	22690	zhangdeshuai	长	zhang	chang
changdeshuai	长得帅	22690	zhangdeshuai	长	zhang	chang
zhangdeishuai	长得帅	22690	zhangdeshuai	得	de	dei
taihang	太行	22675	taixing	行	xing	hang
fudai	福大	22665	fuda	大	da	dai
jikuai	计会	22656	jihui	会	hui	kuai
gouxie	狗血	22653	gouxue	血	xue	xie
daiguo	大锅	22619	daguo	大	da	dai
shuodeidui	说得对	22607	shuodedui	得	de	dei
momen	没门	22584	meimen	没	mei	mo
sheigan	谁敢	22564	shuigan	谁	shui	shei
juanli	圈里	22561	quanli	圈	quan	juan
jiezi	桔子	22533	juzi	桔	ju	jie
yuanyuandi	圆圆的	22521	yuanyuande	的	de	di
fengkuai	峰会	22517	fenghui	会	hui	kuai
kuoshi	适时	22510	shishi	适	shi	kuo
pofu	剖腹	22506	poufu	剖	pou	po
daiying	大英	22504	daying	大	da	dai
youxiaoshuai	有效率	22490	youxiaolv	率	lv	shuai
zhendai	真大	22490	zhenda	大	da	dai
chongdu	重度	22488	zhongdu	重	zhong	chong
hede	何地	22481	hedi	地	di	de
biezhao	别着	22463	biezhe	着	zhe	zhao
biezhuo	别着	22463	biezhe	着	zhe	zhuo
deda	地大	22463	dida	地	di	de
dedai	地大	22463	dida	地	di	de
didai	地大	22463	dida	大	da	dai
qiaoqiaode	悄悄地	22461	qiaoqiaodi	地	di	de
morang	没让	22458	meirang	没	mei	mo
fenbianshuai	分辨率	22451	fenbianlv	率	lv	shuai
nuannuandi	暖暖的	22449	nuannuande	的	de	di
jiwofa	给我发	22384	geiwofa	给	gei	ji
chenghang	盛行	22376	shengxing	盛	sheng	cheng
chengxing	盛行	22376	shengxing	盛	sheng	cheng
shenghang	盛行	22376	shengxing	行	xing	hang
diaola	掉落	22376	diaoluo	落	luo	la
daixiong	大兄	22374	daxiong	大	da	dai
daibaoyu	大暴雨	22371	dabaoyu	大	da	dai
huanpa	还怕	22367	haipa	还	hai	huan
huadai	华大	22355	huada	大	da	dai
dailong	大龙	22338	dalong	大	da	dai
dongde	动地	22334	dongdi	地	di	de
zhizhao	指着	22328	zhizhe	着	zhe	zhao
zhizhuo	指着	22328	zhizhe	着	zhe	zhuo
daijin	大金	22311	dajin	大	da	dai
shijiegede	世界各地	22300	shijiegedi	地	di	de
bula	不落	22283	buluo	落	luo	la
daizhao	大招	22280	dazhao	大	da	dai
tanchang	探长	22273	tanzhang	长	zhang	chang
ligongdai	理工大	22256	ligongda	大	da	dai
chongzhao	冲着	22249	chongzhe	着	zhe	zhao
chongzhuo	冲着	22249	chongzhe	着	zhe	zhuo
quanchang	全长	22234	quanzhang	长	zhang	chang
baoji	包给	22227	baogei	给	gei	ji
wudai	武大	22222	wuda	大	da	dai
renchong	任重	22215	renzhong	重	zhong	chong
daitang	大唐	22208	datang	大	da	dai
weixian	未见	22198	weijian	见	jian	xian
nongnongdi	浓浓的	22193	nongnongde	的	de	di
kuaijiwo	快给我	22190	kuaigeiwo	给	gei	ji
daika	大咖	22183	daka	大	da	dai
daierzi	大儿子	22162	daerzi	大	da	dai
sheixian	谁先	22160	shuixian	谁	shui	shei
daiwan	大碗	22148	dawan	大	da	dai
daixiong	大胸	22144	daxiong	大	da	dai
dingji	定给	22143	dinggei	给	gei	ji
jieji	借给	22135	jiegei	给	gei	ji
yongyuandushi	永远都是	22132	yongyuandoushi	都	dou	du
rende	人地	22119	rendi	地	di	de
daiwu	大雾	22110	dawu	大	da	dai
weizhao	围着	22110	weizhe	着	zhe	zhao
weizhuo	围着	22110	weizhe	着	zhe	zhuo
kedai	可大	22102	keda	大	da	dai
xiongdai	胸大	22100	xiongda	大	da	dai
daishou	大手	22095	dashou	大	da	dai
jiachang	加长	22087	jiazhang	长	zhang	chang
yigejue	一个角	22070	yigejiao	角	jiao	jue
